Model ID,Status,,Maps,VPO,Method,nTrMols,nTsMols,External Pred,r&sup2; STE,q&sup2;<sub>cv</sub> STE,q&sup2;<sub>ext</sub> STE,Optimal PC STE,r&sup2; ELE,q&sup2;<sub>cv</sub> ELE,q&sup2;<sub>ext</sub> ELE,Optimal PC ELE,r&sup2; SUM,q&sup2;<sub>cv</sub> SUM,q&sup2;<sub>ext</sub> SUM,Optimal PC SUM,r&sup2; COMBINED,q&sup2;<sub>cv</sub> COMBINED,q&sup2;<sub>ext</sub> COMBINED,Optimal PC COMBINED,|,COMBINED CV Score,COMBINED Pred Score,COMBINED Full Score,|,MixedFields CV Score,MixedFields Pred Score,MixedFields Full Score,|,AllFields CV Score,AllFields Pred Score,AllFields Full Score,|,Probe,Probe Charge,Charge Model,Min Sigma,Scaling,Max N Components,Grid Spacing,Grid Extension,Diel Const,CutOff,CutOff (2),# Level,CV Type,CV Groups,CV Iters,CV Random,Min SDEP Increment,SA Opt,SA Ti,SA Tf,SA cool factor,SA Min Vars,Y-Scrambling,Y-S Iterations
205509,completed,Results,Missing,true,TRIPOS,36,6,True,0.367,-0.042,0.316,1,0.350,-0.121,-1.424,1,0.560,-0.068,0.116,2,0.656,-0.009,0.343,2,|,0.327,0.562,0.444,|,0.308,0.487,0.418,|,0.294,0.225,0.254,|,H.P,1,qeq,0.100,true,8,2.300,7.000,58.000,2.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205510,completed,Results,Missing,true,EasyMIF,36,6,True,0.474,-0.030,0.140,2,0.570,-0.270,-0.427,2,0.720,-0.152,-0.714,2,0.410,-0.078,-0.808,1,|,0.281,-0.205,0.015,|,0.257,-0.174,0.006,|,0.245,0.032,0.147,|,Cl,1,eem2015hn,0.200,true,8,2.800,3.000,44.000,22.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205511,completed,Results,Missing,true,O3G,36,6,True,0.230,-0.034,-0.140,1,0.386,0.203,0.308,1,0.987,0.512,-1.061,8,0.406,0.189,0.363,1,|,0.459,0.575,0.587,|,0.567,0.101,0.239,|,0.478,0.245,0.363,|,Br,1,eem,0.200,true,8,2.700,10.000,36.000,10.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205512,completed,Results,Missing,true,O3G,36,6,True,0.660,0.141,0.374,2,0.395,0.195,0.337,1,0.414,0.202,0.367,1,0.452,0.216,0.357,1,|,0.478,0.571,0.592,|,0.473,0.575,0.593,|,0.459,0.572,0.574,|,O.3,1,eem,0.900,true,8,2.800,3.000,52.000,13.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205516,completed,Results,Missing,true,O3G,36,6,True,0.643,0.003,0.796,2,0.446,0.217,0.619,1,0.367,0.150,0.385,1,0.471,0.191,0.554,1,|,0.461,0.647,0.582,|,0.447,0.613,0.577,|,0.427,0.654,0.552,|,H,1,eem2015hm,0.200,true,8,2.100,5.000,53.000,29.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205518,completed,Results,Missing,true,O3G,36,6,True,0.253,0.024,-0.267,1,0.424,0.225,0.564,1,0.745,0.361,0.572,2,0.452,0.217,0.519,1,|,0.478,0.635,0.598,|,0.526,0.675,0.625,|,0.471,0.530,0.542,|,N.4,1,qtpie,1.000,true,8,3.200,3.000,78.000,10.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205519,completed,Results,Missing,true,EasyMIF,36,6,True,0.540,-0.079,0.012,2,0.295,-0.162,-0.155,1,0.683,-0.075,-0.305,2,0.961,0.071,0.470,7,|,0.381,0.647,0.454,|,0.332,0.388,0.337,|,0.293,0.337,0.348,|,C.3.H2,1,eem2015ba,0.100,true,8,3.100,4.000,33.000,13.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205520,completed,Results,Missing,true,TRIPOS,36,6,True,0.670,0.122,0.101,2,0.361,-0.021,0.337,1,0.320,-0.000,-0.403,1,0.459,0.030,-0.644,1,|,0.353,-0.096,0.106,|,0.343,-0.016,0.176,|,0.355,0.232,0.324,|,C.3.H1,1,eem2015ba,0.800,true,8,1.000,3.000,64.000,20.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205521,completed,Results,Missing,true,EasyMIF,36,6,True,0.000,-0.058,-0.104,1,0.971,-0.177,-0.861,4,0.972,-0.210,-0.950,4,0.972,-0.210,-0.950,4,|,0.193,-0.300,-0.172,|,0.193,-0.300,-0.172,|,0.224,-0.144,-0.007,|,H.P,1,eem,0.900,true,8,1.500,4.000,62.000,26.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205522,completed,Results,Missing,true,Autogrid,36,6,True,0.000,-0.058,-0.104,1,0.335,0.014,0.008,1,0.429,-0.061,0.179,2,0.335,0.014,0.008,1,|,0.343,0.339,0.450,|,0.318,0.396,0.439,|,0.318,0.348,0.442,|,S.3,1,eem2015hn,0.700,true,8,1.800,6.000,72.000,1.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205523,completed,Results,Missing,true,O3G,36,6,True,0.615,0.079,0.014,2,0.347,0.164,0.164,1,0.356,0.165,0.196,1,0.967,0.648,0.110,5,|,0.765,0.407,0.502,|,0.604,0.435,0.529,|,0.509,0.414,0.507,|,S.3,1,eem2015ha,0.100,true,8,3.200,10.000,34.000,5.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205524,completed,Results,Missing,true,O3G,36,6,True,0.702,0.197,0.370,2,0.349,0.156,0.304,1,0.353,0.152,0.298,1,0.993,0.697,-0.509,7,|,0.798,-0.006,0.196,|,0.616,0.263,0.381,|,0.534,0.411,0.469,|,Cl,1,eem,0.600,true,8,1.900,7.000,68.000,7.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205525,completed,Results,Missing,true,O3G,36,6,True,0.322,0.041,0.001,1,0.354,0.170,0.226,1,0.350,0.162,0.302,1,0.383,0.180,0.279,1,|,0.453,0.519,0.573,|,0.447,0.527,0.573,|,0.425,0.468,0.541,|,F,1,eem2015ha,0.300,true,8,2.600,5.000,20.000,6.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205529,completed,Results,Missing,true,TRIPOS,36,6,True,0.274,-0.136,-0.787,1,0.261,0.023,-0.207,1,0.344,0.043,-0.637,1,0.350,0.048,-0.568,1,|,0.365,-0.046,0.165,|,0.363,-0.068,0.148,|,0.329,-0.033,0.173,|,H.P,1,eem2015ba,0.200,true,8,2.700,7.000,52.000,15.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205530,completed,Results,Missing,true,TRIPOS,36,6,True,0.674,0.122,-0.137,2,0.664,0.011,-0.526,1,0.451,0.026,-0.592,1,0.527,0.022,-0.703,1,|,0.348,-0.136,0.064,|,0.349,-0.098,0.099,|,0.363,0.007,0.166,|,Br,1,eem2015hn,0.200,true,8,1.000,6.000,45.000,10.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205531,completed,Results,Missing,true,O3G,36,6,True,0.235,-0.004,-0.398,1,0.502,0.295,0.801,1,0.701,0.338,0.722,2,0.530,0.285,0.659,1,|,0.523,0.687,0.621,|,0.541,0.744,0.643,|,0.486,0.556,0.536,|,C.3.H1,1,openbabel,0.500,true,8,3.200,3.000,1.000,23.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205532,completed,Results,Missing,true,O3G,36,6,True,0.634,0.117,0.550,2,0.426,0.240,0.423,1,0.832,0.469,0.552,2,0.852,0.463,0.520,2,|,0.642,0.680,0.676,|,0.644,0.691,0.682,|,0.548,0.674,0.632,|,I,1,openbabel,1.000,true,8,2.700,6.000,46.000,12.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205533,completed,Results,Missing,true,TRIPOS,36,6,True,0.679,0.118,-0.173,2,0.487,-0.044,0.235,1,0.391,-0.001,-0.503,1,0.561,0.028,-0.689,1,|,0.352,-0.126,0.067,|,0.342,-0.064,0.125,|,0.350,0.145,0.252,|,S.o,1,eem2015ba,0.500,true,8,1.000,10.000,56.000,5.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205534,completed,Results,Missing,true,O3G,36,6,True,0.219,-0.048,-0.469,1,0.689,0.334,0.691,2,0.839,0.457,0.647,2,0.827,0.362,0.652,2,|,0.575,0.768,0.652,|,0.606,0.766,0.674,|,0.518,0.586,0.559,|,OH2,1,eem2015bn,0.400,true,8,2.400,3.000,78.000,27.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205535,completed,Results,Missing,true,Autogrid,36,6,True,0.362,0.007,-1.240,1,0.140,-0.247,0.072,1,0.156,-0.083,-0.047,1,0.691,-0.098,0.037,2,|,0.268,0.358,0.342,|,0.273,0.330,0.383,|,0.263,0.137,0.238,|,OH2,1,eem2015bm,0.300,true,8,3.100,7.000,13.000,12.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205536,completed,Results,Missing,true,O3G,36,6,True,0.589,0.010,0.046,2,0.425,0.222,0.524,1,0.427,0.206,0.504,1,0.462,0.226,0.527,1,|,0.484,0.641,0.602,|,0.477,0.630,0.596,|,0.444,0.560,0.550,|,C.3.H1,1,eem2015ha,0.100,true,8,2.900,3.000,62.000,21.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205538,completed,Results,Missing,true,TRIPOS,36,6,True,0.527,-0.033,-0.579,2,0.397,-0.071,0.414,5,0.344,-0.030,0.027,1,0.616,0.104,0.288,2,|,0.403,0.526,0.498,|,0.358,0.438,0.465,|,0.329,0.356,0.377,|,C.3,1,qeq,0.600,true,8,2.700,8.000,39.000,2.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205540,completed,Results,Missing,true,O3G,36,6,True,0.554,-0.021,-0.146,2,0.506,0.306,0.175,1,0.408,0.205,0.257,1,0.507,0.272,0.106,1,|,0.515,0.404,0.514,|,0.492,0.454,0.546,|,0.460,0.398,0.494,|,Na,1,eem2015ha,0.600,true,8,3.500,10.000,21.000,25.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205541,completed,Results,Missing,true,TRIPOS,36,6,True,0.634,0.128,0.106,2,0.899,0.487,-0.775,7,0.826,0.303,0.249,3,0.768,0.282,0.478,2,|,0.521,0.652,0.593,|,0.528,0.576,0.565,|,0.533,0.343,0.411,|,O.3,1,openbabel,0.100,true,8,1.700,7.000,30.000,14.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205542,completed,Results,Missing,true,EasyMIF,36,6,True,0.545,-0.072,-0.043,2,0.493,0.296,0.602,1,0.528,0.277,0.399,1,0.788,0.313,0.648,2,|,0.542,0.765,0.633,|,0.530,0.682,0.625,|,0.469,0.583,0.562,|,Br,1,openbabel,0.500,true,8,2.800,8.000,61.000,4.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205544,completed,Results,Missing,true,O3G,36,6,True,0.695,0.150,0.372,2,0.448,0.234,0.505,1,0.805,0.351,0.692,2,0.985,0.578,-0.162,7,|,0.719,0.225,0.351,|,0.643,0.510,0.504,|,0.552,0.558,0.534,|,OH2,1,eem,0.700,true,8,2.700,3.000,56.000,21.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205547,completed,Results,Missing,true,TRIPOS,36,6,True,0.379,-0.024,-0.223,1,0.698,0.219,-0.515,1,0.440,0.064,-0.374,1,0.513,0.085,-0.418,1,|,0.390,0.054,0.219,|,0.383,0.069,0.235,|,0.391,0.078,0.238,|,H,1,eem,0.600,true,8,1.200,9.000,18.000,12.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205549,completed,Results,Missing,true,EasyMIF,36,6,True,0.235,-0.119,-0.405,1,0.503,0.329,0.333,2,0.703,0.262,0.481,2,0.648,0.074,0.340,2,|,0.383,0.560,0.486,|,0.446,0.607,0.540,|,0.424,0.458,0.489,|,C.3.H3,1,openbabel,0.100,true,8,3.000,6.000,57.000,24.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205432,completed,Results,Missing,true,Autogrid,36,6,True,0.137,-0.143,-0.232,1,0.058,-0.071,-1.189,1,0.193,-0.011,-0.650,1,0.219,-0.028,-1.000,1,|,0.315,-0.333,-0.041,|,0.320,-0.217,0.050,|,0.291,-0.179,0.080,|,C.3.H2,1,eem2015bn,0.700,true,8,3.500,6.000,55.000,30.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205433,completed,Results,Missing,true,Autogrid,36,6,True,0.657,0.033,-0.051,2,0.697,0.392,0.794,2,0.843,0.462,0.751,3,0.744,0.347,0.898,2,|,0.565,0.830,0.648,|,0.603,0.832,0.682,|,0.539,0.690,0.603,|,I,1,eem2015ha,1.000,true,8,1.000,5.000,43.000,21.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205441,completed,Results,Missing,true,TRIPOS,36,6,True,0.367,-0.030,-0.309,1,0.191,0.016,0.525,1,0.328,-0.009,0.261,1,0.346,0.005,0.424,1,|,0.337,0.564,0.490,|,0.332,0.536,0.487,|,0.330,0.415,0.427,|,N.4,1,eem2015ba,0.500,true,8,2.000,8.000,48.000,19.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205446,completed,Results,Missing,true,O3G,36,6,True,0.690,0.154,0.269,2,0.411,0.212,0.419,1,0.997,0.662,0.636,8,0.997,0.678,0.589,8,|,0.785,0.726,0.742,|,0.780,0.742,0.752,|,0.618,0.651,0.654,|,C.3.H1,1,qeq,0.100,true,8,1.100,6.000,21.000,14.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205449,completed,Results,Missing,true,EasyMIF,36,6,True,0.590,0.045,0.174,2,0.542,0.161,-0.831,1,0.490,0.134,-0.385,1,0.599,0.176,-1.331,1,|,0.451,-0.554,-0.236,|,0.437,-0.239,0.006,|,0.419,-0.062,0.122,|,Br,1,eem2015bm,0.800,true,8,2.400,4.000,8.000,7.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205458,completed,Results,Missing,true,EasyMIF,36,6,True,0.666,0.065,-0.087,2,0.543,0.029,-0.210,1,0.510,0.048,0.030,1,0.595,0.041,-0.672,1,|,0.361,-0.114,0.072,|,0.363,0.119,0.255,|,0.364,0.177,0.294,|,O.3,1,eem2015ba,0.100,true,8,1.500,7.000,7.000,30.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205459,completed,Results,Missing,true,Autogrid,36,6,True,0.341,-0.085,-0.173,1,0.736,0.490,0.824,2,0.887,0.550,0.877,3,0.883,0.534,0.862,3,|,0.690,0.908,0.764,|,0.695,0.913,0.768,|,0.581,0.717,0.652,|,Na,1,mmff94,0.200,true,8,1.200,10.000,62.000,30.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205470,completed,Results,Missing,true,TRIPOS,36,6,True,0.355,-0.029,-0.146,1,0.345,0.000,-0.448,1,0.366,0.013,-0.433,1,0.397,0.008,-0.365,1,|,0.339,0.090,0.253,|,0.340,0.067,0.239,|,0.332,0.101,0.265,|,C.3.H1,1,eem2015bm,0.300,true,8,2.300,8.000,8.000,13.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205475,completed,Results,Missing,true,EasyMIF,36,6,True,0.373,-0.094,-0.478,1,0.836,0.301,-2.585,2,0.511,-0.065,-2.266,1,0.654,0.023,-2.689,1,|,0.348,-1.459,-0.950,|,0.319,-1.318,-0.839,|,0.361,-1.003,-0.594,|,F,1,eem2015hm,0.300,true,8,2.200,7.000,41.000,13.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205489,completed,Results,Missing,true,O3G,36,6,True,0.525,0.031,0.383,2,0.356,0.177,0.260,1,0.984,0.223,-0.503,8,0.386,0.186,0.307,1,|,0.457,0.538,0.580,|,0.470,0.268,0.351,|,0.436,0.408,0.441,|,F,1,eem2015bm,0.400,true,8,2.700,5.000,5.000,5.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205493,completed,Results,Missing,true,Autogrid,36,6,True,0.935,-0.960,-2.781,8,0.616,0.188,0.356,2,0.657,0.242,0.859,2,0.703,0.227,0.815,2,|,0.484,0.802,0.595,|,0.490,0.787,0.591,|,0.283,0.156,0.131,|,C.3,1,eem2015hn,0.700,true,8,2.300,9.000,63.000,15.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205497,completed,Results,Missing,true,Autogrid,36,6,True,0.541,-0.097,0.225,2,0.395,0.112,0.212,1,0.587,0.138,0.760,2,0.617,0.086,0.656,2,|,0.391,0.745,0.537,|,0.408,0.735,0.538,|,0.373,0.607,0.500,|,Br,1,openbabel,0.400,true,8,2.200,3.000,15.000,14.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205499,completed,Results,Missing,true,Autogrid,36,6,True,0.632,0.000,-0.027,2,0.627,0.324,0.856,2,0.814,0.386,0.593,3,0.702,0.297,0.932,2,|,0.531,0.801,0.610,|,0.561,0.765,0.633,|,0.501,0.649,0.568,|,N.4,1,eem2015bm,0.800,true,8,1.200,8.000,43.000,3.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205513,completed,Results,Missing,true,Autogrid,36,6,True,0.335,-0.073,-0.886,1,0.497,0.085,-0.041,5,0.333,0.129,-0.359,1,0.745,0.370,-0.157,2,|,0.580,0.229,0.359,|,0.500,0.161,0.323,|,0.418,0.093,0.261,|,Na,1,eem2015bm,0.900,true,8,2.400,10.000,52.000,21.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205514,completed,Results,Missing,true,Autogrid,36,6,True,0.667,0.056,-0.005,2,0.308,-0.027,0.032,1,0.553,0.064,0.227,2,0.631,0.006,0.374,2,|,0.337,0.583,0.460,|,0.356,0.534,0.469,|,0.350,0.438,0.443,|,OH,1,eem2015bn,0.700,true,8,2.100,8.000,66.000,16.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205517,completed,Results,Missing,true,Autogrid,36,6,True,0.618,0.043,0.294,2,0.574,0.338,0.521,2,0.682,0.064,0.008,2,0.731,0.257,0.700,2,|,0.504,0.800,0.623,|,0.440,0.569,0.512,|,0.450,0.587,0.538,|,C.3.H1,1,eem2015bm,0.500,true,8,1.900,4.000,33.000,29.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
